,Rank,Step,Value,Metric,Type,Agent
1419,0,2700,0.919677734375,Accuracy,Reconstruction,C
1423,0,2750,0.92724609375,Accuracy,Reconstruction,C
1427,0,2800,0.92724609375,Accuracy,Reconstruction,C
1431,0,2850,0.92626953125,Accuracy,Reconstruction,C
1435,0,2900,0.92919921875,Accuracy,Reconstruction,C
1439,0,2950,0.92333984375,Accuracy,Reconstruction,C
1443,0,3000,0.923828125,Accuracy,Reconstruction,C
1447,0,3050,0.927978515625,Accuracy,Reconstruction,C
1451,0,3100,0.92138671875,Accuracy,Reconstruction,C
1455,0,3150,0.931884765625,Accuracy,Reconstruction,C
1459,0,3200,0.935546875,Accuracy,Reconstruction,C
1463,0,3250,0.929931640625,Accuracy,Reconstruction,C
1467,0,3300,0.92626953125,Accuracy,Reconstruction,C
1471,0,3350,0.929931640625,Accuracy,Reconstruction,C
1475,0,3400,0.922119140625,Accuracy,Reconstruction,C
1479,0,3450,0.91796875,Accuracy,Reconstruction,C
1483,0,3500,0.9306640625,Accuracy,Reconstruction,C
1487,0,3550,0.925048828125,Accuracy,Reconstruction,C
1491,0,3600,0.918212890625,Accuracy,Reconstruction,C
1495,0,3650,0.92626953125,Accuracy,Reconstruction,C
1499,0,3700,0.9296875,Accuracy,Reconstruction,C
1503,0,3750,0.919189453125,Accuracy,Reconstruction,C
1507,0,3800,0.921875,Accuracy,Reconstruction,C
1511,0,3850,0.919677734375,Accuracy,Reconstruction,C
1515,0,3900,0.9306640625,Accuracy,Reconstruction,C
1519,0,3950,0.93115234375,Accuracy,Reconstruction,C
1523,0,4000,0.929443359375,Accuracy,Reconstruction,C
1527,0,4050,0.9267578125,Accuracy,Reconstruction,C
1531,0,4100,0.932861328125,Accuracy,Reconstruction,C
1535,0,4150,0.93115234375,Accuracy,Reconstruction,C
1539,0,4200,0.937744140625,Accuracy,Reconstruction,C
1543,0,4250,0.928466796875,Accuracy,Reconstruction,C
